Player,Team,Age,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,GP,W,L,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOFFTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Joel Embiid,PHI,29,34.6,33.1,11.0,20.1,54.8,1.0,3.0,33.0,10.0,11.7,85.7,1.7,8.4,10.2,4.2,3.4,1.0,1.7,3.1,56.2,39.0,1.0,6.4,119.0,110.2,8.8,23.3,1.21,12.7,5.7,24.3,15.7,10.5,57.3,65.5,37.0,97.34,21.3,4639,66,43,23,84.9,15.1,60.7,15.7,9.1,6.3,30.2,12.7,45.0,60.0,40.0,89.4,10.6,62.6,37.4
Luka Doncic,DAL,24,36.2,32.4,10.9,22.0,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8.0,3.6,1.4,0.5,2.5,56.8,36.0,10.0,1.9,118.1,116.0,2.1,40.8,2.24,21.1,2.4,22.4,12.4,9.4,56.0,60.9,36.8,97.63,20.2,4874,66,33,33,62.7,37.3,50.0,8.5,26.0,5.2,24.0,14.0,41.4,13.1,86.9,21.6,78.4,15.3,84.7
Damian Lillard,POR,32,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4.0,4.8,7.3,3.3,0.9,0.3,1.9,49.1,16.0,2.0,1.8,119.5,117.4,2.1,33.8,2.23,20.8,2.2,11.2,6.8,9.3,56.4,64.5,33.1,99.78,17.3,4385,58,27,31,45.3,54.7,33.4,6.0,39.2,8.6,27.4,11.9,27.4,15.7,84.3,51.6,48.4,31.5,68.5
Shai Gilgeous-Alexander,OKC,24,35.5,31.4,10.4,20.3,51.0,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4.0,4.8,5.5,2.8,1.6,1.0,2.8,50.4,3.0,0.0,2.2,116.1,113.3,2.7,24.9,1.93,16.4,2.3,10.9,6.5,8.5,53.1,62.6,31.8,103.47,17.5,5211,68,33,35,87.8,12.2,60.5,9.7,8.1,12.7,31.4,17.7,50.8,20.1,79.9,31.0,69.0,21.0,79.0
Giannis Antetokounmpo,MIL,28,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,3.9,0.8,0.8,3.1,54.8,46.0,6.0,5.4,116.4,109.2,7.2,31.4,1.46,16.2,6.5,26.8,17.1,11.1,57.2,60.5,37.3,103.63,20.4,4380,63,47,16,86.6,13.4,67.4,7.0,7.2,17.5,25.4,12.9,60.3,41.5,58.5,61.7,38.3,42.9,57.1
Jayson Tatum,BOS,25,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35.0,7.2,8.4,85.4,1.1,7.7,8.8,4.6,2.9,1.1,0.7,2.2,49.9,31.0,1.0,6.4,119.2,110.8,8.5,20.5,1.61,14.5,2.9,20.0,11.7,9.0,54.3,60.7,31.9,99.76,16.7,5674,74,52,22,56.0,44.0,43.8,5.0,32.4,12.1,23.8,15.1,38.7,51.5,48.5,64.6,35.4,55.8,44.2
Stephen Curry,GSW,35,34.7,29.4,10.0,20.2,49.3,4.9,11.4,42.7,4.6,5.0,91.5,0.7,5.4,6.1,6.3,3.2,0.9,0.4,2.1,46.8,12.0,1.0,4.8,118.1,112.4,5.8,27.4,1.97,19.9,2.0,14.7,8.5,10.1,61.4,65.6,29.7,104.68,16.6,4244,56,30,26,43.6,56.4,34.7,7.9,49.7,10.7,15.6,15.3,26.8,37.1,62.9,59.3,40.7,47.9,52.1
Kevin Durant,PHX,34,35.6,29.1,10.3,18.3,56.0,2.0,4.9,40.4,6.5,7.1,91.9,0.4,6.3,6.7,5.0,3.3,0.7,1.4,2.1,47.7,5.0,1.0,5.5,117.1,110.3,6.8,22.8,1.51,17.0,1.2,16.6,9.6,11.3,61.4,67.7,30.5,99.00,18.5,3458,47,34,13,73.3,26.7,57.1,26.8,20.4,9.8,22.5,12.2,30.3,46.4,53.6,65.6,34.4,50.1,49.9
LeBron James,LAL,38,35.5,28.9,11.1,22.2,50.0,2.2,6.9,32.1,4.6,5.9,76.8,1.2,7.1,8.3,6.8,3.2,0.9,0.6,1.6,50.3,18.0,2.0,3.9,115.6,111.0,4.6,30.8,2.11,19.8,3.3,19.1,11.4,9.4,54.9,58.3,32.2,103.11,17.2,4207,55,30,25,69.1,30.9,61.4,9.3,22.8,21.6,15.8,12.3,52.1,39.5,60.5,62.8,37.2,44.2,55.8
Donovan Mitchell,CLE,26,35.8,28.3,10.0,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,0.9,3.3,4.3,4.4,2.6,1.5,0.4,2.5,42.9,5.0,0.0,5.0,116.3,110.4,5.9,20.5,1.67,14.9,2.7,9.7,6.2,8.9,57.2,61.4,31.0,96.89,14.9,4932,68,44,24,54.7,45.3,45.2,9.2,38.2,13.0,16.6,15.0,36.0,26.0,74.0,48.2,51.8,34.0,66.0
